AddressLine	City	Municipality	AdminDivision	Country	PostCode	Latitude	Longitude	Phone	IsWiFiHotSpot	IsWheelchairAccessible	Opens	Closes
78 Summer St	Kingston		MA	US	02364	41.9989	-70.73034	(339) 555-0155	False	True	600	2300
6405 N Claremont Ave	Chicago		IL	US	60645	41.99916	-87.68894	(217) 555-0147	False	False	900	2400
31 N Main St	Enfield		CT	US	06082	42.00022	-72.59862	(203) 555-0174	False	True	800	2200
6574 N Sheridan Rd	Chicago		IL	US	60626	42.00206	-87.66067	(217) 555-0146	False	False	800	2200
6733 N Olmsted Ave	Chicago		IL	US	60631	42.00227	-87.81723	(217) 555-0159	True	False	700	1800
6718 N Northwest Hwy	Chicago		IL	US	60631	42.00318	-87.81659	(217) 555-0113	False	True	800	2200
6712 N Northwest Hwy	Chicago		IL	US	60631	42.00324	-87.81667	(217) 555-0184	True	True	700	1800
825 W Wise Rd	Schaumburg		IL	US	60193	42.00453	-88.10062	(217) 555-0165	True	True	700	1800
1014 S McLean Blvd	Elgin		IL	US	60123	42.00777	-88.31495	(217) 555-0138	False	True	800	2200
4611 Montrose Blvd	Houston		TX	US	77006	29.73197	-95.39118	(210) 555-0159	True	True	600	2300
Viale Brianza 1	Monza		CN	IT	20052	45.59375	9.27146	0800-XXXXX	False	True	700	1800
12 Taunton St	Plainville		MA	US	02762	42.01121	-71.30584	(339) 555-0127	False	False	700	1800
1090 Landmeier Rd	Elk Grove Village		IL	US	60007	42.01264	-87.9706	(217) 555-0178	False	True	800	2200
320 W Center St	West Bridgewater		MA	US	02379	42.01644	-71.02727	(339) 555-0109	True	True	700	1800
3240 Fondren Rd	Houston		TX	US	77063	29.73212	-95.52045	(210) 555-0166	False	False	700	1800
1545 W Howard St	Chicago		IL	US	60626	42.01953	-87.67026	(217) 555-0157	False	False	600	2300
425 S Roselle Rd	Schaumburg		IL	US	60193	42.0199	-88.08013	(217) 555-0122	False	False	800	2200
933 E Oakton St	Des Plaines		IL	US	60018	42.02356	-87.90131	(217) 555-0180	False	False	700	1800
101 Busse Rd	Elk Grove Village		IL	US	60007	42.02383	-87.96001	(217) 555-0197	False	True	800	2200
1050 E Oakton St	Des Plaines		IL	US	60018	42.0239	-87.89828	(217) 555-0133	False	True	600	2300
17 Enfield St	Enfield		CT	US	06082	42.02419	-72.58426	(203) 555-0180	False	False	730	2330
1396 E Oakton St	Des Plaines		IL	US	60018	42.02419	-87.88924	(217) 555-0122	False	True	800	2200
275 N Main St	West Bridgewater		MA	US	02379	42.03	-71.00851	(339) 555-0172	False	True	800	2200
638 W Algonquin Rd	Des Plaines		IL	US	60016	42.03024	-87.93634	(217) 555-0161	True	True	900	2400
407 N Main St	Mansfield		MA	US	02048	42.03404	-71.21833	(339) 555-0160	False	True	800	2200
504 Main St	Evanston		IL	US	60202	42.03407	-87.67902	(217) 555-0151	False	True	700	1800
1064 Main St	Hanson		MA	US	02341	42.04229	-70.87869	(339) 555-0103	True	True	600	2300
1901 E Woodfield Rd	Schaumburg		IL	US	60173	42.04318	-88.03172	(217) 555-0193	False	False	700	1800
800 Washington St	Wrentham		MA	US	02093	42.04419	-71.30332	(339) 555-0114	True	False	700	1800
500 Davis St	Evanston		IL	US	60201	42.04626	-87.67926	(217) 555-0158	False	True	800	2200
1566 Oak Ave	Evanston		IL	US	60201	42.04645	-87.68672	(217) 555-0168	True	True	1000	2000
1571 Sherman Ave	Evanston		IL	US	60201	42.0466	-87.68197	(217) 555-0128	False	False	700	1800
31 Bradford St	Provincetown		MA	US	02657	42.04677	-70.19304	(339) 555-0192	False	True	800	2200
594 Washington St	South Easton		MA	US	02375	42.04696	-71.08131	(339) 555-0199	False	True	700	1800
2039 Main St	Brockton		MA	US	02301	42.04727	-71.01034	(339) 555-0174	False	False	600	2300
500 W Higgins Rd	Schaumburg		IL	US	60195	42.04743	-88.08988	(217) 555-0181	False	True	800	2200
626 Church St	Evanston		IL	US	60201	42.04819	-87.68004	(217) 555-0120	False	False	700	1800
1750 W Golf Rd	Mt Prospect		IL	US	60056	42.0482	-87.96092	(217) 555-0118	False	True	800	2200
1728 W Golf Rd	Mt Prospect		IL	US	60056	42.04827	-87.96139	(217) 555-0174	True	True	600	2300
906 Church St	Evanston		IL	US	60201	42.04838	-87.68389	(217) 555-0177	False	False	700	1800
11 Carver St	Provincetown		MA	US	02657	42.049	-70.18927	(339) 555-0127	False	True	800	2200
611 E Golf Rd	Schaumburg		IL	US	60173	42.04979	-88.06447	(217) 555-0101	False	False	900	2400
1642 SW Flagler Terrace	Miami		FL	US	33135	25.77271	-80.22195	(239) 555-0131	False	False	800	2200
1321 Golf Rd	Rolling Meadows		IL	US	60008	42.0512	-87.99857	(217) 555-0196	False	False	600	2300
815 Emerson St	Evanston		IL	US	60201	42.05201	-87.68288	(217) 555-0187	True	True	700	1800
335 Commercial St	Provincetown		MA	US	02657	42.05223	-70.18504	(339) 555-0194	False	False	1000	2000
214 W Texas Ave	Baytown		TX	US	77520	29.7328	-94.97041	(210) 555-0142	True	True	700	1800
133 Bradford St	Provincetown		MA	US	02657	42.05266	-70.18659	(339) 555-0146	False	False	700	1800
8526 W Golf Rd	Niles		IL	US	60714	42.05469	-87.83732	(217) 555-0108	False	True	800	2200
4012 Golf Rd	Skokie		IL	US	60076	42.05517	-87.72806	(217) 555-0198	False	True	900	2400
175 Old Orchard Shopping Center	Skokie		IL	US	60077	42.05566	-87.7489	(217) 555-0154	False	False	700	1800
2575 W Higgins Rd	Schaumburg		IL	US	60195	42.05775	-88.13926	(217) 555-0158	False	False	700	1800
2942 Virginia Ln	Glenview		IL	US	60025	42.0638	-87.83081	(217) 555-0130	True	True	700	1800
1725 E Algonquin Rd	Schaumburg		IL	US	60173	42.06548	-88.03651	(217) 555-0127	False	True	800	2200
885 Belmont St	Brockton		MA	US	02301	42.06591	-71.05332	(339) 555-0117	False	True	700	1800
740 N Wolf Rd	Des Plaines		IL	US	60016	42.0664	-87.90759	(217) 555-0140	False	True	800	2200
2676 Green Bay Rd	Evanston		IL	US	60201	42.06727	-87.70105	(217) 555-0179	True	True	730	2330
910 Greenwood Rd	Glenview		IL	US	60025	42.07103	-87.83944	(217) 555-0119	False	True	800	2200
1875 Grove St	Glenview		IL	US	60025	42.07534	-87.80463	(217) 555-0192	False	False	600	2300
228 Belmont St	Brockton		MA	US	02301	42.07851	-71.02901	(339) 555-0135	False	True	800	2200
2710 Richmond Ave	Houston		TX	US	77098	29.73428	-95.42045	(210) 555-0156	False	True	700	1800
4 E Northwest Hwy	Arlington Heights		IL	US	60004	42.08369	-87.98196	(217) 555-0124	True	False	700	1800
513 Belmont Ave	Springfield		MA	US	01108	42.0863	-72.55938	(339) 555-0101	False	True	800	2200
4100 Montrose Blvd	Houston		TX	US	77006	29.73553	-95.39098	(210) 555-0130	False	False	600	2300
365 Walnut St Ext	Agawam		MA	US	01001	42.08689	-72.62851	(339) 555-0126	False	False	600	2300
710 W Euclid Ave	Palatine		IL	US	60067	42.08782	-88.05958	(217) 555-0194	False	True	800	2200
1303	Mt Prospect		IL	US	60056	42.09082	-87.90855	(217) 555-0109	False	True	800	2200
538 Westgate Dr	Brockton		MA	US	02301	42.09175	-71.05296	(339) 555-0192	True	True	700	1800
64 Green Bay Rd	Winnetka		IL	US	60093	42.09223	-87.72201	(217) 555-0154	False	True	800	2200
901 S Plum Grove Rd	Palatine		IL	US	60067	42.09253	-88.04393	(217) 555-0192	True	True	700	1800
1113 Bedford St	Whitman		MA	US	02382	42.09261	-70.95006	(339) 555-0165	False	False	900	2400
578 Main St	Springfield		MA	US	01105	42.09437	-72.58094	(339) 555-0109	False	False	600	2300
26125 E Huron River Dr	Flat Rock		MI	US	48134	42.09477	-83.29149	(231) 555-0173	False	False	700	1800
1011 E Columbus Ave	Springfield		MA	US	01105	42.0951	-72.58444	(339) 555-0106	False	False	700	1800
12513 Westheimer Rd	Houston		TX	US	77077	29.73608	-95.602	(210) 555-0105	True	False	730	2330
673 Main St	West Springfield		MA	US	01089	42.10122	-72.60716	(339) 555-0156	False	True	800	2200
62 High St	Springfield		MA	US	01105	42.1033	-72.58156	(339) 555-0175	False	True	800	2200
3115 Kirby Dr	Houston		TX	US	77098	29.73636	-95.41882	(210) 555-0200	False	False	700	1800
505 Chestnut St	Winnetka		IL	US	60093	42.10491	-87.73527	(217) 555-0181	False	True	800	2200
1165 Park St	Stoughton		MA	US	02072	42.10513	-71.06881	(339) 555-0169	False	False	900	2400
15 Columbia Rd	Pembroke		MA	US	02359	42.10569	-70.80565	(339) 555-0188	False	True	800	2200
897 N Montello St	Brockton		MA	US	02301	42.10664	-71.02312	(339) 555-0163	False	False	800	2200
254 Church St	Pembroke		MA	US	02359	42.10732	-70.76132	(339) 555-0166	True	False	700	1800
185 Elm St	West Springfield		MA	US	01089	42.10733	-72.62309	(339) 555-0164	False	False	700	1800
711 Dwight St	Springfield		MA	US	01104	42.10873	-72.59571	(339) 555-0172	False	True	800	2200
9 Winter St	Brockton		MA	US	02302	42.1092	-71.02176	(339) 555-0184	False	False	600	2300
680 Worthington St	Springfield		MA	US	01105	42.10957	-72.58618	(339) 555-0132	False	True	800	2200
56 W Wilson St	Palatine		IL	US	60067	42.11233	-88.04551	(217) 555-0114	False	False	700	1800
400 Bedford St	Abington		MA	US	02351	42.11296	-70.94871	(339) 555-0129	False	True	800	2200
2 LW Besinger Dr	Carpentersville		IL	US	60110	42.11407	-88.25834	(217) 555-0143	True	True	600	2300
807 W Rand Rd	Arlington Heights		IL	US	60004	42.11845	-87.98883	(217) 555-0117	False	True	800	2200
933 N Rand Rd	Arlington Heights		IL	US	60004	42.12201	-87.99411	(217) 555-0196	True	True	700	1800
3130 Keystone Rd	Northbrook		IL	US	60062	42.1237	-87.8576	(217) 555-0191	False	True	700	1800
1510 E Hintz Rd	Arlington Heights		IL	US	60004	42.12461	-87.96478	(217) 555-0118	False	False	1000	2000
5802 Westheimer Rd	Houston		TX	US	77057	29.73778	-95.48162	(210) 555-0115	False	False	700	1800
1358 Shermer Rd	Northbrook		IL	US	60062	42.12812	-87.82818	(217) 555-0159	False	False	600	2300
1143 Church St	Northbrook		IL	US	60062	42.13081	-87.82575	(217) 555-0151	True	True	700	1800
1145 Church St	Northbrook		IL	US	60062	42.13082	-87.82578	(217) 555-0183	False	False	700	1800
319 Washington St	Stoughton		MA	US	02072	42.13722	-71.10197	(339) 555-0196	False	False	700	1800
1580 N Rand Rd	Palatine		IL	US	60074	42.13857	-88.02085	(217) 555-0131	False	True	900	2400
1625 N Rand Rd	Palatine		IL	US	60074	42.1396	-88.02254	(217) 555-0192	False	True	800	2200
1333 Boston Rd	Springfield		MA	US	01119	42.14059	-72.49908	(339) 555-0197	False	True	700	1800
217 Washington St	Stoughton		MA	US	02072	42.14077	-71.10289	(339) 555-0192	False	True	800	2200
1380 Boston Rd	Springfield		MA	US	01119	42.14098	-72.49818	(339) 555-0115	True	True	700	1800
2747 W Jefferson Ave	Trenton		MI	US	48183	42.14138	-83.17778	(231) 555-0100	False	False	600	2300
45 Milford St	Medway		MA	US	02053	42.14559	-71.45007	(339) 555-0145	True	True	700	1800
960 Main St	Walpole		MA	US	02081	42.14665	-71.25263	(339) 555-0129	False	False	800	2200
1876 Boston Rd	Wilbraham		MA	US	01095	42.14734	-72.48084	(339) 555-0137	False	False	600	2300
1584 Main St	Weymouth		MA	US	02190	42.14971	-70.9553	(339) 555-0163	False	True	800	2200
254 Skokie Blvd	Northbrook		IL	US	60062	42.14988	-87.79978	(217) 555-0188	False	True	700	1800
2701 Boston Rd	Wilbraham		MA	US	01095	42.1512	-72.4291	(339) 555-0145	False	True	800	2200
320 Center St	Randolph		MA	US	02368	42.15167	-71.03089	(339) 555-0185	True	True	700	1800
6100 Westheimer Rd	Houston		TX	US	77057	29.73792	-95.4896	(210) 555-0155	False	False	1000	2000
2087 Washington St	Hanover		MA	US	02339	42.15397	-70.84733	(339) 555-0107	False	True	800	2200
232 E Main St	Barrington		IL	US	60010	42.15417	-88.13412	(217) 555-0112	True	True	700	1800
39 Plymouth St	Holbrook		MA	US	02343	42.15488	-71.00759	(339) 555-0194	False	False	700	1800
515 Washington St	Norwell		MA	US	02061	42.15856	-70.85247	(339) 555-0165	True	True	730	2330
257 East St	Ludlow		MA	US	01056	42.15881	-72.47571	(339) 555-0191	False	False	700	1800
1324 E Algonquin Rd	Algonquin		IL	US	60102	42.15952	-88.27312	(217) 555-0150	False	False	700	1800
204 Washington St	East Walpole		MA	US	02032	42.16057	-71.21724	(339) 555-0198	False	True	800	2200
933 Hingham St	Rockland		MA	US	02370	42.1608	-70.90227	(339) 555-0153	True	True	700	1800
20 Pleasant St	Millis		MA	US	02054	42.16093	-71.36557	(339) 555-0130	False	False	600	2300
71 Memorial Pkwy	Randolph		MA	US	02368	42.16306	-71.04451	(339) 555-0150	False	True	800	2200
1037 Main St	Weymouth		MA	US	02190	42.16929	-70.9552	(339) 555-0109	False	True	800	2200
703 Grattan St	Chicopee		MA	US	01020	42.17499	-72.59956	(339) 555-0170	False	False	730	2330
1630 Deerfield Rd	Highland Park		IL	US	60035	42.17613	-87.82312	(217) 555-0128	False	True	800	2200
1086 Washington St	Norwood		MA	US	02062	42.1791	-71.2057	(339) 555-0177	True	True	700	1800
17780 Fort St	Wyandotte		MI	US	48192	42.17944	-83.18934	(231) 555-0158	False	False	700	1800
435 Columbian St	Weymouth		MA	US	02190	42.18021	-70.96962	(339) 555-0132	False	True	800	2200
840 Memorial Dr	Chicopee		MA	US	01020	42.18219	-72.57732	(339) 555-0185	True	True	700	1800
3820 W Alabama St	Houston		TX	US	77027	29.73841	-95.43954	(210) 555-0135	False	False	700	1800
1070 N Main St	Randolph		MA	US	02368	42.19246	-71.05971	(339) 555-0118	False	True	800	2200
653 Washington St	Norwood		MA	US	02062	42.1934	-71.20119	(339) 555-0101	True	True	600	2300
76 Front St	Scituate		MA	US	02066	42.19372	-70.72545	(339) 555-0194	False	True	800	2200
119 Central St	Norwood		MA	US	02062	42.194	-71.20016	(339) 555-0167	True	True	700	1800
2129 W Alabama St	Houston		TX	US	77098	29.73848	-95.41152	(210) 555-0185	False	True	800	2200
17 E Main St	Lake Zurich		IL	US	60047	42.19699	-88.09243	(217) 555-0194	False	True	800	2200
246 Green Bay Rd	Highwood		IL	US	60040	42.20174	-87.80964	(217) 555-0159	False	False	600	2300
47 Highwood Ave	Highwood		IL	US	60040	42.20186	-87.81035	(217) 555-0102	False	True	800	2200
11 Highwood Ave	Highwood		IL	US	60040	42.20186	-87.80891	(217) 555-0101	True	True	730	2330
88 Pearl St	Braintree		MA	US	02184	42.20252	-71.00298	(339) 555-0179	False	True	800	2200
910 Washington St	Braintree		MA	US	02184	42.20262	-71.00539	(339) 555-0179	True	True	600	2300
415 Sheridan Rd	Highwood		IL	US	60040	42.204	-87.80994	(217) 555-0155	False	True	800	2200
282 High St	Holyoke		MA	US	01040	42.20606	-72.60833	(339) 555-0105	False	False	700	1800
13499 Toledo	Southgate		MI	US	48195	42.2094	-83.19851	(231) 555-0157	False	True	700	1800
100 S Miami Ave	Miami		FL	US	33130	25.77291	-80.19338	(239) 555-0135	False	False	730	2330
15099 Northline Rd	Southgate		MI	US	48195	42.21334	-83.20718	(231) 555-0147	True	True	900	2400
25 Lake St	Weymouth		MA	US	02189	42.21357	-70.92798	(339) 555-0170	False	False	700	1800
810 Sheridan Rd	Highwood		IL	US	60040	42.21384	-87.81741	(217) 555-0123	False	True	800	2200
800 Broad St	Weymouth		MA	US	02189	42.21574	-70.92608	(339) 555-0144	False	False	1000	2000
233 Elm St	Dedham		MA	US	02026	42.2269	-71.17698	(339) 555-0191	False	True	800	2200
200 Quincy Ave	Braintree		MA	US	02184	42.22889	-70.97053	(339) 555-0103	False	True	700	1800
240 Quincy Ave	Braintree		MA	US	02184	42.23002	-70.97185	(339) 555-0199	False	True	800	2200
340 Quincy Ave	Braintree		MA	US	02184	42.2315	-70.97376	(339) 555-0164	False	True	700	1800
747 Providence Hwy	Dedham		MA	US	02026	42.23926	-71.17756	(339) 555-0102	True	False	700	1800
5000 Westheimer Rd	Houston		TX	US	77056	29.74136	-95.46146	(210) 555-0176	True	True	700	1800
445 E Eisenhower Pkwy	Ann Arbor		MI	US	48108	42.24406	-83.74066	(231) 555-0132	False	False	700	1800
14 North St	Hingham		MA	US	02043	42.24408	-70.88529	(339) 555-0183	False	True	800	2200
1505 Hyde Park Ave	Hyde Park		MA	US	02136	42.24652	-71.12848	(339) 555-0174	False	True	900	2400
722 Southfield Rd	Lincoln Park		MI	US	48146	42.247	-83.1666	(231) 555-0126	False	False	700	1800
100 Granite St	Quincy		MA	US	02169	42.24708	-71.0056	(339) 555-0104	False	True	800	2200
1570 Hancock St	Quincy		MA	US	02169	42.24712	-71.00131	(339) 555-0129	True	True	730	2330
1502 Hancock St	Quincy		MA	US	02169	42.24766	-71.00153	(339) 555-0181	False	True	800	2200
1506 Hancock St	Quincy		MA	US	02169	42.24769	-71.00155	(339) 555-0154	True	True	700	1800
505 High St	Dedham		MA	US	02026	42.24872	-71.17041	(339) 555-0187	False	False	600	2300
335 Commerce Dr	Crystal Lake		IL	US	60014	42.24873	-88.32955	(217) 555-0148	False	True	800	2200
1437 Hancock St	Quincy		MA	US	02169	42.24883	-71.00209	(339) 555-0114	True	True	700	1800
293 E Illinois Rd	Lake Forest		IL	US	60045	42.24982	-87.8399	(217) 555-0135	False	False	800	2200
654 N Bank Ln	Lake Forest		IL	US	60045	42.25296	-87.84123	(217) 555-0196	False	False	700	1800
1915 Westheimer Rd	Houston		TX	US	77098	29.74274	-95.40752	(210) 555-0176	False	True	800	2200
32 Sargent St	Quincy		MA	US	02169	42.2545	-70.96438	(339) 555-0117	False	True	800	2200
705 Adams St	Quincy		MA	US	02169	42.25634	-71.03387	(339) 555-0102	False	True	800	2200
6650 Allen Rd	Allen Park		MI	US	48101	42.2581	-83.2095	(231) 555-0132	False	False	700	1800
13 Pond St	Ashland		MA	US	01721	42.25859	-71.42464	(339) 555-0157	False	True	800	2200
2411 S Shepherd Dr	Houston		TX	US	77019	29.74292	-95.41087	(210) 555-0161	True	True	600	2300
614 W Liberty St	Wauconda		IL	US	60084	42.25864	-88.15558	(217) 555-0115	False	True	600	2300
1128 Dix Hwy	Lincoln Park		MI	US	48146	42.26572	-83.18453	(231) 555-0125	False	False	800	2200
11 Rockland Circle	Hull		MA	US	02045	42.26622	-70.85389	(339) 555-0177	True	False	700	1800
708 Hancock St	Quincy		MA	US	02170	42.26681	-71.01475	(339) 555-0145	False	False	700	1800
1 Beale St	Quincy		MA	US	02170	42.26741	-71.01662	(339) 555-0198	False	True	800	2200
20355 Van Born Rd	Taylor		MI	US	48180	42.26961	-83.23575	(231) 555-0183	False	True	800	2200
4018 Roberts Rd	Island Lake		IL	US	60042	42.27091	-88.19859	(217) 555-0170	False	True	700	1800
107 E State Rd	Island Lake		IL	US	60042	42.27213	-88.19658	(217) 555-0161	False	True	800	2200
276 Nantasket Ave	Hull		MA	US	02045	42.27363	-70.8608	(339) 555-0115	False	True	800	2200
4590 Washington St	Roslindale		MA	US	02131	42.27685	-71.13905	(339) 555-0134	True	True	700	1800
314 S Main St	Ann Arbor		MI	US	48104	42.27835	-83.74851	(231) 555-0112	False	True	800	2200
118 W Liberty St	Ann Arbor		MI	US	48104	42.27948	-83.74945	(231) 555-0173	False	True	700	1800
105 Chapel St	Needham		MA	US	02492	42.28137	-71.23664	(339) 555-0140	False	False	800	2200
912 Lovett Blvd	Houston		TX	US	77006	29.7437	-95.39019	(210) 555-0112	False	False	700	1800
Darmstädter Straße 1	Bensheim		Hessen	DE	64625	49.69955	8.6211	0800-XXXXX	False	False	900	2400
626 Gallivan Blvd	Dorchester		MA	US	02124	42.28355	-71.05004	(339) 555-0122	False	True	800	2200
750 Adams St	Dorchester		MA	US	02122	42.28401	-71.05563	(339) 555-0188	True	True	1000	2000
4249 Washington St	Roslindale		MA	US	02131	42.28516	-71.12942	(339) 555-0200	False	False	700	1800
3103 S Wayne Rd	Wayne		MI	US	48184	42.28578	-83.3839	(231) 555-0109	False	True	800	2200
307 Westheimer Rd	Houston		TX	US	77006	29.74454	-95.38502	(210) 555-0137	False	False	700	1800
289 Walk Hill St	Roslindale		MA	US	02131	42.28829	-71.10729	(339) 555-0177	False	False	600	2300
404 Lake St	Libertyville		IL	US	60048	42.28957	-87.96223	(217) 555-0149	False	True	800	2200
330 S Oakwood Blvd	Detroit		MI	US	48217	42.29018	-83.14623	(231) 555-0186	False	False	900	2400
92 Central St	Wellesley		MA	US	02482	42.29591	-71.298	(339) 555-0192	False	False	800	2200
1578 Dorchester Ave	Dorchester		MA	US	02122	42.29645	-71.06141	(339) 555-0137	True	False	700	1800
